business_id,date,code,description
<<<<<<< HEAD
67372,12/1/14,6,Standard not met. Food Protection: Potentially hazardous food properly thawed
67372,12/1/14,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
67372,12/1/14,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
67372,12/1/14,17,"Standard not met. Food Equipment & Utensils: Sanitization rinse, temp., conce., exp. time, equip. utensils, sanitized"
67372,12/1/14,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
67372,12/16/14,6,Standard not met. Food Protection: Potentially hazardous food properly thawed
67372,12/16/14,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
67372,12/16/14,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
67372,12/16/14,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
67372,12/16/14,23,"Standard not met. Plumbing: Installed, maintained"
67372,12/16/14,34,"Standard not met. Other Operations: Premises main, free of litter, misc. articles, cleaning/maint. equip. properly stored. Authorized personnel rooms clean, lockers provided, located, used."
61072,2/24/15,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
65440,8/26/14,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
65440,8/26/14,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
65440,4/21/15,16,"Standard not met. Food Equipment & Utensils: Dishwashing facilities designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge"
65440,4/21/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
31040,12/8/14,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
31040,12/8/14,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
65439,8/26/14,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
65439,4/21/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
65439,4/21/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
81149,2/4/15,1,"Standard not met. Food Sources: Source, Records, Condition, Spoilage, Adulterated"
81149,2/4/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
81149,2/4/15,11,"Standard not met. Personnel: Hands washed and clean, hygienic practices preventing contamination from hands"
81149,2/4/15,17,"Standard not met. Food Equipment & Utensils: Sanitization rinse, temp., conce., exp. time, equip. utensils, sanitized"
81149,2/4/15,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
81149,2/4/15,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
81149,2/4/15,28,"Standard not met. Insect, Rodent, Animal Control: No insects, rodents, birds, turtles, other animals"
81149,2/4/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
81149,2/4/15,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
81149,2/4/15,34,"Standard not met. Other Operations: Premises main, free of litter, misc. articles, cleaning/maint. equip. properly stored. Authorized personnel rooms clean, lockers provided, located, used."
81149,2/26/15,16,"Standard not met. Food Equipment & Utensils: Dishwashing facilities designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge"
81149,4/2/15,16,"Standard not met. Food Equipment & Utensils: Dishwashing facilities designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge"
95307,12/19/14,17,"Standard not met. Food Equipment & Utensils: Sanitization rinse, temp., conce., exp. time, equip. utensils, sanitized"
95307,12/19/14,34,"Standard not met. Other Operations: Premises main, free of litter, misc. articles, cleaning/maint. equip. properly stored. Authorized personnel rooms clean, lockers provided, located, used."
65080,6/23/14,23,"Standard not met. Plumbing: Installed, maintained"
65080,6/23/14,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
65080,6/23/14,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
65080,12/10/14,23,"Standard not met. Plumbing: Installed, maintained"
